#{"t_start": 1763544255.1246347, "env_id": "None"}
r,l,t
-394.4271,29,1.682664
-383.57855,49,1.860251
151.6172,51,1.881414
132.25696,56,1.933878
152.3131,75,2.10738
-414.10037,77,2.12694
149.83604,83,2.182904
-552.54333,85,2.198751
148.93187,40,2.233973
-412.91586,32,2.525301
-413.46765,48,2.564608
113.26317,72,2.593744
126.517166,47,2.611443
81.732735,143,2.719714
-571.3632,150,2.786016
161.18398,69,2.819201
124.08993,155,2.827386
49.81891,82,2.842772
-20.832294,178,3.030613
-414.36426,59,3.121698
141.326,46,3.181252
-381.13367,44,3.495702
-474.16763,92,3.817092
-33.47815,347,4.481639
85.08442,113,4.798144
-93.26988,268,4.884175
-640.0772,170,4.999232
-713.33923,267,5.149098
-372.60895,45,5.524265
-126.79418,451,5.784262
-850.1376,512,6.500151
117.172356,121,6.55062
-831.8846,483,6.925585
164.09966,71,8.611689
-392.52335,34,8.722518
147.19023,69,9.303104
-998.57367,713,9.39534
-467.4211,118,9.882811
101.67021,134,10.566689
132.81488,120,11.009944
66.78816,83,11.364213
-3.6327136,88,11.846105
140.2334,95,12.262292
186.81091,29,12.530651
-152.59116,584,12.707384
141.27838,66,13.270031
-62.734585,288,16.296724
-2366.2175,1268,18.150652
-512.79175,345,18.243942
-617.8723,1106,18.365393
-785.8319,1174,19.443434
-3889.0928,1600,19.499905
-1764.5332,1600,19.499961
-743.00903,152,19.665456
198.35768,45,20.125047
129.26468,95,20.437035
-1673.0209,1600,20.686507
-1036.8226,1600,20.897151
-1892.664,1600,21.017651
-1725.3855,1600,21.036793
-451.8253,76,21.166843
-500.80853,68,21.334955
142.85513,60,21.594306
-420.13754,56,21.868573
90.97633,231,23.850366
76.213425,191,24.226557
-2907.2798,1600,24.348153
189.69133,58,24.374975
-424.0055,50,24.670432
-1939.7938,1600,24.743907
119.75432,63,24.897254
-1469.91,1600,26.284115
-95.36055,374,26.720927
155.0733,54,26.757356
-516.3904,441,27.064613
122.91696,49,27.169848
-1748.7054,1225,27.179158
-421.21283,47,27.497613
-4022.2754,1600,27.587116
-404.99478,44,27.877926
39.48587,204,28.564029
19.569527,250,29.764005
-1257.5071,1373,30.820835
139.96487,43,31.181505
-46.486996,388,31.406686
-1137.0322,1119,31.55546
150.81749,40,31.76322
110.83345,81,31.896698
-2331.1501,1277,31.993599
117.282555,49,32.43869
-406.71967,32,32.725318
93.74424,138,32.811838
43.530643,110,32.890487
95.91833,164,34.351172
-1987.315,1600,34.743618
38.9518,243,34.882107
-1979.4556,1600,37.844915
91.83061,163,38.218427
14.940259,156,38.295505
-700.4219,510,38.340266
-2109.6812,1600,39.27727
-1072.3661,1600,39.411196
152.10239,67,39.989046
74.04811,235,40.050816
-1671.4446,1600,41.177966
-2576.428,1600,41.495835
-1043.1826,1600,41.586668
-378.56735,44,41.595385
-2700.7512,1600,41.744827
-104.88231,634,42.256065
-411.97614,58,42.299064
-904.1649,475,42.791291
-398.66452,73,42.980082
-921.9009,330,43.915582
14.048852,214,44.267761
-145.30466,584,44.487827
130.55472,84,44.512827
-414.71484,93,44.759623
103.16768,45,44.887136
-1912.2183,1600,44.896408
163.68932,37,45.088295
-793.2323,1600,45.579054
116.585724,81,45.588795
31.334875,109,45.833126
-467.37292,198,46.008331
-1397.8429,1600,46.282362
193.48764,32,46.292595
111.30938,40,46.638052
-1182.4514,1600,47.092794
126.573845,89,47.871722
-1538.4077,642,48.115348
72.903984,176,48.190274
-162.721,465,48.583228
169.70322,74,48.756099
142.7948,71,48.802295
-966.65985,376,48.88365
-781.528,972,49.050902
-396.31372,45,49.200042
-397.03897,39,49.23022
4.0210795,416,50.57049
160.52274,44,50.678591
185.67467,27,50.832211
-413.9924,43,51.101063
72.71556,88,51.141939
-1627.2019,1600,51.201945
51.536316,321,52.662733
-167.44028,671,52.730828
-70.39775,311,52.758199
50.44984,189,52.936128
-734.3121,986,53.037256
-418.45157,41,53.317858
130.9981,39,53.383571
-749.907,1476,53.721452
-87.01481,141,53.948588
-48.022675,336,53.989969
-94.928,329,54.173215
-456.38733,260,55.083996
-414.9197,1189,55.379436
-257.62634,593,55.604559
-453.20612,212,56.054635
-2582.2085,1600,57.930696
-398.7203,38,57.947063
132.86066,60,58.454377
-234.01457,388,58.93365
-1100.9377,1600,59.402028
-371.44897,48,59.882492
-433.11148,50,60.356375
-105.15139,576,60.462206
80.57713,180,60.615631
-106.74445,586,60.812893
150.55392,45,61.011203
124.44602,63,61.01983
-196.86159,573,61.785129
-2179.8896,1600,62.095883
-810.59766,483,62.258497
-385.0599,26,62.316821
180.84845,43,62.685696
-379.33414,28,62.933589
167.9988,33,63.227652
-1328.6057,1600,64.345614
-442.43222,949,64.38112
7.303933,177,64.392312
113.50967,82,65.128757
105.53535,93,65.128834
-1191.6797,630,65.137222
57.724277,101,65.256929
-1128.7489,1600,66.005514
158.44571,101,66.062869
136.59387,102,66.062933
-1117.041,1249,66.520407
-195.41046,581,66.566349
-431.03912,56,67.035047
-533.0632,1056,67.362371
-1140.9097,1288,67.465049
-396.1759,48,67.881278
-193.32971,687,68.131079
-2379.2747,1600,68.169705
-260.03903,251,68.247396
164.09244,80,68.588398
111.23982,158,69.495763
-391.6499,25,69.785851
48.78437,186,70.880856
178.37917,53,71.263195
-1109.4967,375,71.395985
-385.7425,31,71.56369
-415.8496,828,71.722168
-1536.619,1432,72.019351
104.3995,64,72.176713
-81.57337,528,72.286967
-377.9295,28,72.551176
-1145.6317,379,73.115551
-927.501,858,73.148871
-102.298996,467,73.46335
136.07573,38,73.477379
126.79062,38,73.799387
108.542786,143,73.81641
-374.60437,32,74.069711
103.84605,112,74.069766
-1466.9553,910,74.298208
154.0933,38,74.392211
112.417564,81,74.4993
175.56215,53,74.516401
-21.12847,335,74.718711
-714.8913,403,75.021668
-256.99527,990,75.130816
11.916541,350,75.276584
176.79219,56,75.618988
-873.55566,543,75.797955
-472.05984,1022,76.153401
92.112686,103,76.15346
-470.3099,110,77.971081
99.59117,192,78.105833
-290.16568,267,78.476319
-50.906696,316,78.476367
-2557.6472,1600,78.50392
-2472.1208,1600,78.70847
-387.39972,26,78.732462
136.25082,48,78.903001
-793.82904,393,79.380801
111.3034,117,79.809787
144.19499,94,80.307972
177.05453,50,80.795102
-93.004234,266,80.997418
-376.54883,68,81.438758
90.31245,101,81.960358
-101.88723,665,82.036069
-504.58624,65,82.658099
-1640.6788,1600,82.934272
-377.75677,31,83.22021
76.97656,167,83.527232
82.78655,89,84.436499
-1915.4142,1600,84.784863
-19.568628,509,85.034446
-356.50552,55,85.262387
-39.668026,417,85.681195
15.246847,328,85.995295
88.70878,248,86.117192
79.823685,195,86.742861
140.86755,135,86.875047
136.41252,85,87.601971
145.62843,57,88.107692
-1651.1775,1125,88.246434
-2024.3477,1600,88.303997
-39.45485,247,88.888628
87.19667,135,89.411451
-2710.6665,1262,89.428329
97.00984,65,89.447502
127.42966,140,89.511162
-1108.1163,1600,89.64602
-1376.793,1600,91.410547
-16.171982,182,91.847492
-95.73284,199,92.192348
131.99298,157,92.786353
-3436.3044,1600,92.821712
83.43252,69,93.373933
-1550.7239,1600,93.581886
-3124.1426,1600,93.705406
-89.111946,559,93.766355
193.27675,26,93.990462
-765.399,211,94.020635
-26.615479,449,94.142868
-3271.8423,1600,94.290134
-2089.814,1600,94.487789
72.22504,70,94.608497
-284.9736,570,95.342193
-684.4989,960,95.371103
165.99457,39,95.711172
83.90105,73,98.830609
152.24277,41,99.201602
30.450647,209,99.357209
-434.88632,42,99.572176
-192.4059,746,99.648164
-410.1653,53,99.843351
-21.44831,328,99.968332
160.2694,35,99.988444
-818.3085,426,100.881588
136.77249,107,101.110488
-402.81442,47,101.337872
35.219196,140,101.450951
-489.6676,497,101.870754
-80.42784,291,102.481561
-1275.113,1600,102.510191
-448.41235,37,102.876646
-496.74487,151,102.913812
-2678.6602,1600,103.419554
89.10649,114,104.010891
64.61504,169,104.110757
-3338.3762,1600,104.225452
138.0549,35,104.415363
-325.80606,643,104.721305
-421.74112,885,104.778704
-416.70572,41,106.146106
125.15874,102,106.39717
-173.19275,401,106.667252
-57.11576,249,106.734465
-250.703,673,107.295521
96.690216,170,107.323808
-138.23799,592,107.857039
34.558712,368,108.327058
124.687096,59,108.828228
-170.47351,634,109.602043
-1079.1462,1401,110.173152
-3213.379,1600,110.393805
-1191.0391,489,111.167496
-1916.1978,1600,111.522285
114.239746,143,113.956871
-826.94025,1600,114.787715
-458.99805,793,114.808232
-156.90167,583,114.971445
-200.60027,737,115.164007
-918.68866,731,115.348493
-401.28088,71,115.409297
-418.41165,56,115.463027
177.33676,40,115.514599
-1390.9869,1600,115.571728
97.06007,188,115.615138
128.7631,102,115.70548
112.12749,74,115.995589
-182.84384,450,116.113162
109.1816,100,116.441241
70.32701,133,116.570926
-439.49326,40,116.799341
24.856796,496,117.249354
-356.33353,55,117.276557
158.17786,76,117.953444
58.236477,298,118.093493
-9.254036,523,118.183717
-382.92786,318,118.452655
-318.10626,974,119.028363
-1869.2299,1600,119.123502
91.86896,59,121.054643
-26.412663,411,121.189277
-655.2385,198,121.266476
127.55169,85,122.000096
-42.97227,306,122.440729
58.896954,93,123.250926
-1592.4767,1428,123.346258
137.84892,34,123.565184
-583.6451,114,124.39237
-38.520817,514,124.558053
-203.4051,479,125.461547
-2406.6401,1600,125.592797
39.601738,146,125.703191
-424.21884,133,125.75752
-2549.636,1503,126.257396
-547.264,683,128.356953
-1218.6743,843,129.36903
-33.72701,300,129.369084
-399.71976,60,129.900599
-490.65848,1317,130.002111
-407.6932,763,130.057037
-2313.626,1305,130.083916
-60.397274,304,130.181096
-1749.8239,1600,130.941457
-520.6045,1220,130.986055
13.553673,460,131.096864
-113.38948,498,131.341805
-454.4854,166,131.676823
-385.999,39,132.038161
79.30151,211,132.188872
188.68161,32,132.347597
144.09387,43,132.759171
-1801.8298,1600,133.341296
129.70326,32,134.702834
-1447.4318,1600,134.888263
133.60886,131,135.017668
-495.07986,521,135.275456
-97.37661,473,135.379057
-473.19794,44,135.404679
-636.71185,378,135.504627
-384.191,41,135.77317
-457.0016,55,135.867797
-1471.8269,1600,136.368628
122.145706,84,136.489043
-268.97058,612,136.696817
-40.0698,215,136.75807
114.76964,68,137.099301
-32.28586,237,137.590935
76.54062,161,137.806143
-263.61276,249,138.070694
116.54217,101,138.496542
-366.02875,54,138.553784
-42.81928,258,139.048567
147.27492,37,139.382636
9.010503,172,139.392136
-482.7966,109,139.523785
-284.69427,482,139.618274
137.75777,63,139.984063
-154.58765,331,140.129533
-888.50616,774,142.546528
-3276.0762,1600,142.675428
137.14932,31,142.97781
-333.57584,743,143.753132
103.77995,224,143.978177
-1727.3113,1600,144.980384
147.82257,129,145.117971
-8.118912,295,145.191144
-246.85704,412,145.494597
119.79961,54,145.589057
-452.36557,73,145.61743
-559.90814,404,145.646517
-575.0872,539,145.842576
155.17717,67,146.090987
129.94014,72,146.219113
80.998795,68,146.236277
-72.62315,444,146.337932
-1969.915,1600,146.357468
-733.52655,1334,146.843518
119.10134,89,147.008482
105.61578,113,147.329346
106.07066,125,147.420686
1.7572129,422,147.494281
163.80235,59,147.520591
-2049.4514,1451,147.623761
19.727869,177,147.741934
-1596.0734,1600,147.991648
-144.20656,631,149.269402
85.336624,61,149.304803
140.21991,52,149.488603
178.2299,28,149.536513
-21.823969,194,149.56853
-383.79385,33,149.78391
-1807.3131,1600,149.86978
-654.02466,175,149.997529
-435.53293,1134,150.34868
-434.39618,130,150.500736
126.542786,103,150.512744
112.77307,85,150.575557
-193.7809,552,151.129308
118.944466,174,151.957036
-686.70276,377,151.967347
-384.16934,29,152.237803
134.13515,45,152.400243
179.51318,27,152.491609
94.25881,219,152.604665
-111.23708,463,152.739076
-393.57712,657,152.772454
-501.59116,188,152.838533
140.77898,43,152.868926
-138.93857,507,152.97871
10.680499,273,153.024706
155.12283,35,153.285453
-126.55506,426,153.436172
106.772125,64,153.445231
154.15329,77,153.528704
191.38585,32,153.716402
130.67354,108,153.727318
182.48045,53,153.897731
-150.64023,433,153.950325
134.5052,41,154.088076
124.25506,74,154.18042
51.589863,220,155.766595
-189.73694,563,156.386173
-523.4255,341,156.415192
3.4128656,378,156.549785
-383.97906,75,157.054739
-156.73895,279,157.217183
-1773.3455,1394,157.356478
-185.25148,494,157.931963
-428.45605,118,158.122045
-102.52003,412,158.368987
-131.37076,490,158.436322
50.360756,217,158.496557
106.4337,51,158.578387
-853.12,1252,159.095197
104.30842,104,159.279489
86.96257,105,159.416942
41.621925,106,159.504733
-11.516332,243,159.522554
103.01119,58,159.620767
-705.6604,527,159.667383
-372.11066,30,159.807554
-373.03745,57,159.99893
26.242449,206,160.404064
-393.29526,79,160.5058
-379.58862,35,160.822696
130.87599,68,161.36837
95.32491,191,164.147355
-1653.5299,1347,164.200103
-1696.2705,1600,164.396038
175.14352,33,164.522623
192.68465,35,164.749626
198.84602,29,164.814842
-718.9249,700,165.505691
73.68872,102,166.671903
-112.121346,493,167.432037
114.187195,95,167.505565
-555.43414,592,167.643206
170.84543,41,167.832127
-1331.2917,1600,168.04847
151.83224,34,168.107698
84.21131,110,168.509519
65.430016,182,169.589963
-794.1172,548,171.419953
-287.00024,834,171.560527
-169.77023,645,171.719774
7.0909114,257,171.786215
-1191.5205,756,171.796505
-559.45984,1072,171.976116
-558.2056,908,172.113973
-178.92896,750,172.131312
173.11983,55,172.248265
181.73108,49,172.268309
126.164986,118,172.268358
44.685547,69,172.443872
182.86838,27,172.513341
-495.12454,51,172.743008
170.85292,45,172.86837
-218.35684,469,173.060303
-414.87885,38,173.106355
173.94292,34,173.196202
-3315.8792,1600,173.356784
76.532845,90,173.383316
183.6381,51,173.685338
-1721.2627,1600,173.754035
8.505548,209,173.972588
58.672447,150,174.524258
-1040.2042,1600,174.655109
-69.90318,293,174.848135
52.459743,130,174.856667
-406.26233,28,175.091856
176.27858,40,175.460413
