#{"t_start": 1759747852.2866573, "env_id": "None"}
r,l,t
-121785.516,200,3.421689
-122547.99,200,3.55665
-123343.75,200,3.689833
-124065.34,200,3.831677
-122225.52,200,3.966024
-120713.62,200,4.098101
-122510.62,200,4.228304
-118624.26,200,4.36083
-121446.53,200,4.492894
-120968.59,200,4.633393
-125779.64,200,5.794464
-122463.7,200,5.926692
-121301.24,200,6.061336
-120323.055,200,6.196083
-121671.35,200,6.331184
-128737.75,200,6.465394
-122592.625,200,6.602184
-125378.49,200,6.735204
-126422.62,200,6.869536
-125405.25,200,7.002591
-123423.74,200,8.270082
-127224.72,200,8.534153
-123060.79,200,8.711159
-122103.94,200,8.868673
-121378.45,200,9.01095
-116814.03,200,9.157099
-122537.37,200,9.339752
-120540.14,200,9.464269
-121499.516,200,9.594898
-119281.516,200,9.752072
-124240.586,200,11.210098
-120366.03,200,11.348471
-118862.86,200,11.588547
-128171.35,200,11.731681
-124539.77,200,11.863489
-120720.945,200,11.997683
-122633.52,200,12.14073
-117153.48,200,12.268722
-122544.914,200,12.403143
-117535.3,200,12.538418
-121619.58,200,13.622739
-117091.17,200,13.784615
-121480.16,200,13.930328
-119671.914,200,14.080196
-122861.56,200,14.230505
-122484.91,200,14.469084
-119008.805,200,14.664194
-127943.125,200,14.793318
-120083.805,200,14.93537
-115820.37,200,15.069234
-126630.46,200,15.836946
-113442.766,200,17.012891
-126852.08,200,17.159327
-121234.52,200,17.297615
-119775.45,200,17.581007
-126809.9,200,17.78422
-115645.336,200,17.92689
-116772.266,200,18.104629
-128301.13,200,18.390631
-121925.82,200,18.522406
-119199.45,200,18.653987
-121272.445,200,19.667335
-124340.46,200,19.831198
-119646.19,200,19.98342
-124898.72,200,20.172631
-125903.39,200,20.359116
-120028.875,200,20.511191
-118775.27,200,20.742901
-119549.055,200,20.911552
-123985.47,200,21.050473
-119706.92,200,21.272616
-118506.14,200,22.259817
-119023.2,200,22.410138
-121747.38,200,22.555424
-124011.0,200,22.693516
-123805.78,200,22.826692
-119597.07,200,22.964849
-124772.664,200,23.101331
-124075.375,200,23.244015
-121968.5,200,23.390343
-125305.55,200,23.528807
-123036.74,200,24.388993
-118551.06,200,24.522646
-121979.16,200,24.664207
-119803.43,200,24.79463
-123298.305,200,24.926775
-124347.51,200,25.091895
-119835.766,200,25.313108
-126466.99,200,25.463725
-118004.26,200,25.601007
-125519.34,200,25.762417
-123397.38,200,25.951962
-125744.336,200,26.895272
-123501.375,200,27.030406
-122602.35,200,27.162771
-124559.305,200,27.294589
-118853.51,200,27.426045
-123291.04,200,27.559258
-120495.44,200,27.690737
-120325.65,200,27.821656
-117628.83,200,28.438251
-122908.19,200,28.570367
-123031.14,200,29.359476
-120601.75,200,29.481539
-119443.64,200,29.603548
-121473.21,200,29.724628
-125097.3,200,29.846236
-117664.484,200,29.969181
-128634.984,200,30.091
-113068.195,200,30.213949
-121610.18,200,30.335566
-115964.77,200,30.457545
-121532.98,200,31.165702
-119203.07,200,31.287231
-120000.21,200,31.408871
-123741.69,200,31.530994
-116284.39,200,31.653886
-114956.31,200,31.775438
-116240.84,200,31.896406
-128109.49,200,32.018119
-122411.76,200,32.140709
-122881.35,200,32.262348
-115117.31,200,32.942685
-122279.77,200,33.065562
-119628.625,200,33.187593
-119437.92,200,33.310128
-117840.54,200,33.432033
-117166.32,200,33.555476
-117950.98,200,33.677083
-121675.38,200,33.799088
-120873.05,200,33.921026
-117391.67,200,34.043583
-124937.24,200,34.165879
-115813.445,200,35.464134
-126280.61,200,35.61984
-121224.805,200,35.773343
-119671.61,200,35.916327
-123580.75,200,36.065041
-123781.84,200,36.205298
-119181.31,200,36.380991
-122008.82,200,36.651303
-119732.945,200,36.781045
-113850.0,200,36.942068
-120044.22,200,38.079417
-122581.945,200,38.213423
-119413.39,200,38.362293
-113833.484,200,38.495914
-122524.766,200,38.630214
-120567.58,200,38.791412
-119174.98,200,39.020058
-118204.32,200,39.752364
-122642.086,200,39.895437
-117141.33,200,40.081229
-118952.055,200,41.181148
-128483.55,200,41.35674
-115272.18,200,41.511976
-117782.56,200,41.678871
-112589.7,200,41.900247
-117896.63,200,42.049687
-120095.64,200,42.219372
-120607.055,200,42.374335
-120857.48,200,42.51607
-118981.7,200,42.691646
-121996.69,200,43.762504
-124648.21,200,43.929588
-118784.125,200,44.094177
-117618.63,200,44.261082
-117196.695,200,44.420643
-121926.59,200,44.588032
-111254.414,200,44.765977
-117515.17,200,44.929433
-116350.85,200,45.093612
-121085.62,200,45.270042
-118684.555,200,45.430197
-124076.555,200,46.393657
-120832.75,200,46.5517
-117394.195,200,46.710274
-111628.29,200,46.91001
-121373.734,200,47.047538
-120049.79,200,47.181911
-115950.15,200,47.318671
-117967.69,200,47.572901
-115164.89,200,47.720365
-125433.05,200,47.864363
-119205.33,200,48.805269
-122764.875,200,48.94535
-116932.984,200,49.080459
-116321.26,200,49.212012
-121925.17,200,49.34447
-120035.13,200,49.560835
-123500.96,200,49.768756
-118349.81,200,49.94362
-120067.01,200,50.119047
-121631.6,200,50.279755
-120557.695,200,51.436528
-122515.14,200,51.616374
-111465.47,200,51.773058
-121389.64,200,51.937985
-121533.055,200,52.085046
-113660.21,200,52.24958
-119337.73,200,52.898074
-121644.35,200,53.032977
-122072.14,200,53.168934
-127979.16,200,53.304851
-120503.91,200,54.440577
-121802.62,200,54.580276
-115404.93,200,54.715611
-124064.7,200,54.848721
-119443.69,200,54.983523
-118183.32,200,55.118535
-120772.445,200,55.251276
-116908.83,200,55.384397
-120440.38,200,55.518286
-115442.18,200,55.652875
-113444.66,200,55.787125
-115341.445,200,56.57999
-119622.67,200,56.712649
-115314.2,200,56.845041
-121466.64,200,56.978759
-117784.2,200,57.115507
-116565.91,200,57.24877
-117659.67,200,57.373869
-121441.64,200,57.497188
-121110.88,200,57.621028
-113527.1,200,57.744561
-120435.625,200,58.440336
-120634.414,200,58.565935
-113699.37,200,58.691014
-119615.375,200,58.815639
-122500.11,200,58.940135
-123202.15,200,59.066218
-124872.53,200,59.191753
-117842.48,200,59.316884
-113924.77,200,59.441737
-118517.266,200,59.567307
-112858.85,200,60.295725
-118813.95,200,60.417639
-117657.26,200,60.541926
-120487.46,200,60.66452
-118597.414,200,60.786218
-119388.03,200,60.907424
-116776.88,200,61.029457
-119625.586,200,61.152254
-119705.81,200,61.35519
-118883.24,200,61.54521
-116751.39,200,62.744829
-114527.97,200,62.91458
-113650.266,200,63.058647
-119330.9,200,63.204745
-118359.29,200,63.354278
-122062.46,200,64.00042
-116010.48,200,64.133911
-118033.06,200,64.268414
-122345.29,200,64.409732
-118137.85,200,64.548117
-117986.93,200,64.686748
-120964.52,200,65.684886
-121122.83,200,65.823991
-117394.76,200,65.967679
-112119.94,200,66.103184
-112893.47,200,66.240438
-117302.9,200,66.384218
-113552.81,200,66.523738
-119762.37,200,66.657225
-112361.586,200,66.804603
-116076.4,200,66.946442
-115936.46,200,67.815546
-117538.03,200,67.994058
-112976.305,200,68.131693
-116989.93,200,68.258621
-121220.875,200,68.381706
-116405.87,200,68.514988
-114482.414,200,68.640498
-116556.734,200,68.77375
-118831.11,200,68.900413
-117129.62,200,69.027658
-117580.01,200,69.747304
-119157.71,200,69.881171
-118531.15,200,70.014622
-115985.95,200,70.150049
-121355.38,200,70.275101
-127596.49,200,70.404487
-117525.58,200,70.532589
-116491.16,200,70.67305
-112751.94,200,70.800358
-118294.805,200,70.92589
-120610.234,200,71.670003
-118266.43,200,71.791471
-118022.56,200,71.912913
-120742.586,200,72.03691
-116058.76,200,72.160248
-115333.61,200,72.283218
-117839.7,200,72.40666
-114489.13,200,72.533304
-116582.46,200,72.655764
-112145.055,200,72.78614
-115141.11,200,73.547122
-112959.29,200,73.673602
-120143.336,200,73.810117
-119282.73,200,73.94149
-117369.914,200,74.566436
